TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-277-TC-014,Bug,Data Validation,Validate spacing with only whitespace in subjectivity,Verify behavior when subjectivity contains only spaces,1. Enter only spaces in subjectivity field 2. Attempt to save,System should reject whitespace-only entry or trim and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-015,Bug,Data Validation,Validate subjectivity character length,Verify that subjectivity field has appropriate character limit,1. Enter text longer than limit 2. Check if rejected or truncated,System should either accept valid length or show error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-016,Bug,Data Validation,Validate spacing with Unicode characters in subjectivity,Verify spacing works correctly with Unicode characters (international text),1. Enter subjectivity with Unicode characters (Chinese Arabic etc.) 2. Check spacing,Spacing should work correctly with Unicode characters,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
EZ-277-TC-017,Bug,Data Validation,Validate spacing with HTML special characters,Verify that HTML special characters in subjectivity are properly escaped,1. Enter subjectivity with HTML characters (<>&) 2. Check display,HTML characters should be escaped and spacing maintained,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-018,Bug,Data Validation,Validate spacing after subjectivity edit,Verify that spacing is correct after editing existing subjectivity,1. Edit existing subjectivity 2. Check spacing after modification,Spacing should remain correct after edit,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-019,Bug,Data Validation,Validate spacing with line breaks in subjectivity,Verify behavior when subjectivity contains line breaks or newline characters,1. Paste subjectivity with line breaks 2. Check spacing,System should handle line breaks appropriately and maintain spacing,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
EZ-277-TC-020,Bug,Data Validation,Validate spacing with SQL injection attempt in subjectivity,Verify that SQL injection attempts in subjectivity do not affect spacing,1. Enter SQL injection payload in subjectivity 2. Check if sanitized and spacing maintained,Payload should be sanitized and spacing preserved,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-021,Bug,Data Validation,Validate static wording text consistency,Verify that static wording text remains consistent across all records,1. Check static text on multiple Financial Lines records,Static text should be identical across all records,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
EZ-277-TC-022,Bug,Data Validation,Validate spacing in different browsers,Verify that spacing displays correctly in different browsers (Chrome Firefox Safari Edge),1. View Financial Lines in different browsers 2. Check spacing,Spacing should be consistent across all browsers,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-023,Bug,Data Validation,Validate spacing on different screen resolutions,Verify that spacing is maintained on different screen resolutions,1. View Financial Lines on different resolutions 2. Check spacing,Spacing should remain consistent regardless of screen resolution,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
EZ-277-TC-024,Bug,Data Validation,Validate spacing in PDF export format,Verify that spacing is preserved when exporting to PDF,1. Export Financial Lines to PDF 2. Check spacing in PDF,Spacing should be identical to screen display in PDF,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-025,Bug,Data Validation,Validate spacing in printing format,Verify that spacing is correct when printing Financial Lines,1. Print Financial Lines record 2. Check spacing in printed output,Spacing should be maintained in printed format,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
