TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-106-TC-018,Enhancement,Negative,Verify report generation without date selection,Verify that report cannot be generated if no date range is selected,1. Open Reporting Dashboard 2. Click LOB tile without selecting dates,Report should not generate and error message should appear,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-019,Enhancement,Data Validation,Validate date format MM/DD/YYYY,Verify that date fields accept and validate MM/DD/YYYY format,1. Enter date in MM/DD/YYYY format 2. Verify acceptance,Date should be accepted in MM/DD/YYYY format,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-020,Enhancement,Data Validation,Validate custom date start date field,Verify that start date field validates correctly in custom range,1. Leave start date empty 2. Enter only end date 3. Attempt to apply,System should require start date and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-021,Enhancement,Data Validation,Validate custom date end date field,Verify that end date field validates correctly in custom range,1. Enter only start date 2. Leave end date empty 3. Attempt to apply,System should require end date and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-022,Enhancement,Data Validation,Validate date range boundary conditions,Verify that boundary dates first/last day of month are handled correctly,1. Select first day of month as start date 2. Select last day of month as end date 3. Apply,Boundary dates should be accepted and processed correctly,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-023,Enhancement,Data Validation,Validate special characters in date field,Verify that special characters in date input are rejected,1. Enter special characters in date field !@#$% 2. Attempt to apply,System should reject and show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-024,Enhancement,Data Validation,Validate leap year dates,Verify that leap year dates Feb 29 are handled correctly,1. Select Feb 29 in leap year 2. Apply date range,Leap year dates should be accepted and processed correctly,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-025,Enhancement,Data Validation,Validate same start and end dates,Verify that system handles when start and end dates are the same,1. Select same date for start and end 2. Apply range,System should accept single-day range or show appropriate message,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-026,Enhancement,Data Validation,Validate date picker functionality,Verify that calendar date picker works correctly for date selection,1. Click on date field 2. Use calendar picker to select date 3. Verify selection,Calendar picker should allow intuitive date selection,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
EZ-106-TC-027,Enhancement,Data Validation,Validate timezone handling in dates,Verify that dates are handled correctly in different timezones,1. Change system timezone 2. Select date range 3. Verify dates remain consistent,Dates should remain consistent regardless of timezone,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Low
EZ-106-TC-028,Enhancement,Data Validation,Validate date range persistence in session,Verify that selected date range persists throughout user session,1. Select date range 2. Navigate between pages 3. Check if date range remains,Date range should be maintained throughout the session,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-106,Medium
